pid	gid	pname
PWY-5063	Zm00001d018034	phytyl diphosphate biosynthesis
PWY-6936	Zm00001d028154	seleno-amino acid biosynthesis
PWY-6936	Zm00001d027536	seleno-amino acid biosynthesis
PWY-6936	Zm00001d038737	seleno-amino acid biosynthesis
PWY-6936	Zm00001d011735	seleno-amino acid biosynthesis
PWY-6936	Zm00001d045153	seleno-amino acid biosynthesis
PWY-6936	Zm00001d047166	seleno-amino acid biosynthesis
PWY-6936	Zm00001d020141	seleno-amino acid biosynthesis
PWY-6936	Zm00001d033030	seleno-amino acid biosynthesis
PWY-6936	Zm00001d029324	seleno-amino acid biosynthesis
PWY-6733	Zm00001d019478	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d031488	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d020970	sporopollenin precursors biosynthesis
